county,precinct,office,district,party,candidate,votes
Indiana,Center #3,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Center #3,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Center #3,State Senate,41,DEM,Joe Pittman,3
Indiana,Center #3,State Senate,41,DEM,Susan Boser,0
Indiana,Center #3,State Senate,41,DEM,Joe Pitman,0
Indiana,Center #3,State Senate,41,DEM,Smith,0
Indiana,Center #3,State Senate,41,DEM,Struzzi,0
Indiana,Center #3,State Senate,41,DEM,Josie Cunningham,0
Indiana,Center #3,State Senate,41,DEM,Jim Watta,0
Indiana,Center #3,State Senate,41,DEM,Charles Olson,0
Indiana,Center #3,State Senate,41,DEM,Dana Henry,0
Indiana,Center #3,State Senate,41,DEM,Juanita Hoover,0
Indiana,Cherryhill #1,State Senate,41,DEM,Sam Shutter,0
Indiana,Cherryhill #1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Cherryhill #1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Cherryhill #1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Cherryhill #1,State Senate,41,DEM,Joe Pittman,3
Indiana,Cherryhill #1,State Senate,41,DEM,Susan Boser,0
Indiana,Cherryhill #1,State Senate,41,DEM,Joe Pitman,0
Indiana,Cherryhill #1,State Senate,41,DEM,Smith,0
Indiana,Cherryhill #1,State Senate,41,DEM,Struzzi,0
Indiana,Cherryhill #1,State Senate,41,DEM,Josie Cunningham,0
Indiana,Cherryhill #1,State Senate,41,DEM,Jim Watta,0
Indiana,Cherryhill #1,State Senate,41,DEM,Charles Olson,0
Indiana,Cherryhill #1,State Senate,41,DEM,Dana Henry,0
Indiana,Cherryhill #1,State Senate,41,DEM,Juanita Hoover,0
Indiana,Cherryhill #2,State Senate,41,DEM,Sam Shutter,0
Indiana,Cherryhill #2,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Cherryhill #2,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Cherryhill #2,State Senate,41,DEM,Joseph A. Pittman,1
Indiana,Cherryhill #2,State Senate,41,DEM,Joe Pittman,1
Indiana,Cherryhill #2,State Senate,41,DEM,Susan Boser,0
Indiana,Cherryhill #2,State Senate,41,DEM,Joe Pitman,0
Indiana,Cherryhill #2,State Senate,41,DEM,Smith,0
Indiana,Cherryhill #2,State Senate,41,DEM,Struzzi,0
Indiana,Cherryhill #2,State Senate,41,DEM,Josie Cunningham,0
Indiana,Cherryhill #2,State Senate,41,DEM,Jim Watta,0
Indiana,Cherryhill #2,State Senate,41,DEM,Charles Olson,0
Indiana,Cherryhill #2,State Senate,41,DEM,Dana Henry,0
Indiana,Cherryhill #2,State Senate,41,DEM,Juanita Hoover,0
Indiana,Cherry Tree,State Senate,41,DEM,Sam Shutter,0
Indiana,Cherry Tree,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Cherry Tree,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Cherry Tree,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Cherry Tree,State Senate,41,DEM,Joe Pittman,0
Indiana,Cherry Tree,State Senate,41,DEM,Susan Boser,0
Indiana,Cherry Tree,State Senate,41,DEM,Joe Pitman,0
Indiana,Cherry Tree,State Senate,41,DEM,Smith,0
Indiana,Cherry Tree,State Senate,41,DEM,Struzzi,0
Indiana,Cherry Tree,State Senate,41,DEM,Josie Cunningham,0
Indiana,Cherry Tree,State Senate,41,DEM,Jim Watta,0
Indiana,Cherry Tree,State Senate,41,DEM,Charles Olson,0
Indiana,Cherry Tree,State Senate,41,DEM,Dana Henry,0
Indiana,Cherry Tree,State Senate,41,DEM,Juanita Hoover,0
Indiana,Clymer,State Senate,41,DEM,Sam Shutter,0
Indiana,Clymer,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Clymer,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Clymer,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Clymer,State Senate,41,DEM,Joe Pittman,5
Indiana,Clymer,State Senate,41,DEM,Susan Boser,0
Indiana,Clymer,State Senate,41,DEM,Joe Pitman,0
Indiana,Clymer,State Senate,41,DEM,Smith,0
Indiana,Clymer,State Senate,41,DEM,Struzzi,0
Indiana,Clymer,State Senate,41,DEM,Josie Cunningham,0
Indiana,Clymer,State Senate,41,DEM,Jim Watta,0
Indiana,Clymer,State Senate,41,DEM,Charles Olson,0
Indiana,Clymer,State Senate,41,DEM,Dana Henry,0
Indiana,Clymer,State Senate,41,DEM,Juanita Hoover,0
Indiana,Conemaugh #1,State Senate,41,DEM,Sam Shutter,0
Indiana,Conemaugh #1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Conemaugh #1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Conemaugh #1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Conemaugh #1,State Senate,41,DEM,Joe Pittman,0
Indiana,Conemaugh #1,State Senate,41,DEM,Susan Boser,0
Indiana,Conemaugh #1,State Senate,41,DEM,Joe Pitman,0
Indiana,Conemaugh #1,State Senate,41,DEM,Smith,0
Indiana,Conemaugh #1,State Senate,41,DEM,Struzzi,0
Indiana,Conemaugh #1,State Senate,41,DEM,Josie Cunningham,0
Indiana,Conemaugh #1,State Senate,41,DEM,Jim Watta,0
Indiana,Conemaugh #1,State Senate,41,DEM,Charles Olson,0
Indiana,Conemaugh #1,State Senate,41,DEM,Dana Henry,0
Indiana,Conemaugh #1,State Senate,41,DEM,Juanita Hoover,0
Indiana,Conemaugh #2,State Senate,41,DEM,Sam Shutter,0
Indiana,Conemaugh #2,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Conemaugh #2,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Conemaugh #2,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Conemaugh #2,State Senate,41,DEM,Joe Pittman,0
Indiana,Conemaugh #2,State Senate,41,DEM,Susan Boser,1
Indiana,Conemaugh #2,State Senate,41,DEM,Joe Pitman,0
Indiana,Conemaugh #2,State Senate,41,DEM,Smith,0
Indiana,Conemaugh #2,State Senate,41,DEM,Struzzi,0
Indiana,Conemaugh #2,State Senate,41,DEM,Josie Cunningham,0
Indiana,Conemaugh #2,State Senate,41,DEM,Jim Watta,0
Indiana,Conemaugh #2,State Senate,41,DEM,Charles Olson,0
Indiana,Conemaugh #2,State Senate,41,DEM,Dana Henry,0
Indiana,Conemaugh #2,State Senate,41,DEM,Juanita Hoover,0
Indiana,Conemaugh #3,State Senate,41,DEM,Sam Shutter,0
Indiana,Conemaugh #3,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Conemaugh #3,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Conemaugh #3,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Conemaugh #3,State Senate,41,DEM,Joe Pittman,0
Indiana,Conemaugh #3,State Senate,41,DEM,Susan Boser,0
Indiana,Conemaugh #3,State Senate,41,DEM,Joe Pitman,0
Indiana,Conemaugh #3,State Senate,41,DEM,Smith,0
Indiana,Conemaugh #3,State Senate,41,DEM,Struzzi,0
Indiana,Conemaugh #3,State Senate,41,DEM,Josie Cunningham,0
Indiana,Conemaugh #3,State Senate,41,DEM,Jim Watta,0
Indiana,Conemaugh #3,State Senate,41,DEM,Charles Olson,0
Indiana,Conemaugh #3,State Senate,41,DEM,Dana Henry,0
Indiana,Conemaugh #3,State Senate,41,DEM,Juanita Hoover,0
Indiana,Creekside,State Senate,41,DEM,Sam Shutter,0
Indiana,Creekside,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Creekside,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Creekside,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Creekside,State Senate,41,DEM,Joe Pittman,1
Indiana,Creekside,State Senate,41,DEM,Susan Boser,0
Indiana,Creekside,State Senate,41,DEM,Joe Pitman,0
Indiana,Creekside,State Senate,41,DEM,Smith,0
Indiana,Creekside,State Senate,41,DEM,Struzzi,0
Indiana,Creekside,State Senate,41,DEM,Josie Cunningham,0
Indiana,Creekside,State Senate,41,DEM,Jim Watta,0
Indiana,Creekside,State Senate,41,DEM,Charles Olson,0
Indiana,Creekside,State Senate,41,DEM,Dana Henry,0
Indiana,Creekside,State Senate,41,DEM,Juanita Hoover,0
Indiana,Ernest,State Senate,41,DEM,Sam Shutter,0
Indiana,Ernest,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Ernest,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Ernest,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Ernest,State Senate,41,DEM,Joe Pittman,0
Indiana,Ernest,State Senate,41,DEM,Susan Boser,0
Indiana,Ernest,State Senate,41,DEM,Joe Pitman,0
Indiana,Ernest,State Senate,41,DEM,Smith,0
Indiana,Ernest,State Senate,41,DEM,Struzzi,0
Indiana,Ernest,State Senate,41,DEM,Josie Cunningham,0
Indiana,Ernest,State Senate,41,DEM,Jim Watta,0
Indiana,Ernest,State Senate,41,DEM,Charles Olson,0
Indiana,Ernest,State Senate,41,DEM,Dana Henry,0
Indiana,Ernest,State Senate,41,DEM,Juanita Hoover,0
Indiana,Glen Campbell,State Senate,41,DEM,Sam Shutter,0
Indiana,Glen Campbell,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Glen Campbell,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Glen Campbell,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Glen Campbell,State Senate,41,DEM,Joe Pittman,2
Indiana,Glen Campbell,State Senate,41,DEM,Susan Boser,0
Indiana,Glen Campbell,State Senate,41,DEM,Joe Pitman,0
Indiana,Glen Campbell,State Senate,41,DEM,Smith,0
Indiana,Glen Campbell,State Senate,41,DEM,Struzzi,0
Indiana,Glen Campbell,State Senate,41,DEM,Josie Cunningham,0
Indiana,Glen Campbell,State Senate,41,DEM,Jim Watta,0
Indiana,Glen Campbell,State Senate,41,DEM,Charles Olson,0
Indiana,Glen Campbell,State Senate,41,DEM,Dana Henry,0
Indiana,Glen Campbell,State Senate,41,DEM,Juanita Hoover,0
Indiana,Grant,State Senate,41,DEM,Sam Shutter,0
Indiana,Grant,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Grant,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Grant,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Grant,State Senate,41,DEM,Joe Pittman,0
Indiana,Grant,State Senate,41,DEM,Susan Boser,0
Indiana,Grant,State Senate,41,DEM,Joe Pitman,1
Indiana,Grant,State Senate,41,DEM,Smith,0
Indiana,Grant,State Senate,41,DEM,Struzzi,0
Indiana,Grant,State Senate,41,DEM,Josie Cunningham,0
Indiana,Grant,State Senate,41,DEM,Jim Watta,0
Indiana,Grant,State Senate,41,DEM,Charles Olson,0
Indiana,Grant,State Senate,41,DEM,Dana Henry,0
Indiana,Grant,State Senate,41,DEM,Juanita Hoover,0
Indiana,Green #1,State Senate,41,DEM,Sam Shutter,0
Indiana,Green #1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Green #1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Green #1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Green #1,State Senate,41,DEM,Joe Pittman,1
Indiana,Green #1,State Senate,41,DEM,Susan Boser,0
Indiana,Green #1,State Senate,41,DEM,Joe Pitman,0
Indiana,Green #1,State Senate,41,DEM,Smith,1
Indiana,Green #1,State Senate,41,DEM,Struzzi,0
Indiana,Green #1,State Senate,41,DEM,Josie Cunningham,0
Indiana,Green #1,State Senate,41,DEM,Jim Watta,0
Indiana,Green #1,State Senate,41,DEM,Charles Olson,0
Indiana,Green #1,State Senate,41,DEM,Dana Henry,0
Indiana,Green #1,State Senate,41,DEM,Juanita Hoover,0
Indiana,Green #2,State Senate,41,DEM,Sam Shutter,0
Indiana,Green #2,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Green #2,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Green #2,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Green #2,State Senate,41,DEM,Joe Pittman,4
Indiana,Green #2,State Senate,41,DEM,Susan Boser,0
Indiana,Green #2,State Senate,41,DEM,Joe Pitman,0
Indiana,Green #2,State Senate,41,DEM,Smith,0
Indiana,Green #2,State Senate,41,DEM,Struzzi,0
Indiana,Green #2,State Senate,41,DEM,Josie Cunningham,0
Indiana,Green #2,State Senate,41,DEM,Jim Watta,0
Indiana,Green #2,State Senate,41,DEM,Charles Olson,0
Indiana,Green #2,State Senate,41,DEM,Dana Henry,0
Indiana,Green #2,State Senate,41,DEM,Juanita Hoover,0
Indiana,Green #3,State Senate,41,DEM,Sam Shutter,0
Indiana,Green #3,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Green #3,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Green #3,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Green #3,State Senate,41,DEM,Joe Pittman,1
Indiana,Green #3,State Senate,41,DEM,Susan Boser,0
Indiana,Green #3,State Senate,41,DEM,Joe Pitman,0
Indiana,Green #3,State Senate,41,DEM,Smith,0
Indiana,Green #3,State Senate,41,DEM,Struzzi,0
Indiana,Green #3,State Senate,41,DEM,Josie Cunningham,0
Indiana,Green #3,State Senate,41,DEM,Jim Watta,0
Indiana,Green #3,State Senate,41,DEM,Charles Olson,0
Indiana,Green #3,State Senate,41,DEM,Dana Henry,0
Indiana,Green #3,State Senate,41,DEM,Juanita Hoover,0
Indiana,Homer City #1,State Senate,41,DEM,Sam Shutter,0
Indiana,Homer City #1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Homer City #1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Homer City #1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Homer City #1,State Senate,41,DEM,Joe Pittman,2
Indiana,Homer City #1,State Senate,41,DEM,Susan Boser,0
Indiana,Homer City #1,State Senate,41,DEM,Joe Pitman,0
Indiana,Homer City #1,State Senate,41,DEM,Smith,0
Indiana,Homer City #1,State Senate,41,DEM,Struzzi,0
Indiana,Homer City #1,State Senate,41,DEM,Josie Cunningham,0
Indiana,Homer City #1,State Senate,41,DEM,Jim Watta,0
Indiana,Homer City #1,State Senate,41,DEM,Charles Olson,0
Indiana,Homer City #1,State Senate,41,DEM,Dana Henry,0
Indiana,Homer City #1,State Senate,41,DEM,Juanita Hoover,0
Indiana,Homer City #2,State Senate,41,DEM,Sam Shutter,0
Indiana,Homer City #2,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Homer City #2,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Homer City #2,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Homer City #2,State Senate,41,DEM,Joe Pittman,0
Indiana,Homer City #2,State Senate,41,DEM,Susan Boser,0
Indiana,Homer City #2,State Senate,41,DEM,Joe Pitman,0
Indiana,Homer City #2,State Senate,41,DEM,Smith,0
Indiana,Homer City #2,State Senate,41,DEM,Struzzi,0
Indiana,Homer City #2,State Senate,41,DEM,Josie Cunningham,0
Indiana,Homer City #2,State Senate,41,DEM,Jim Watta,0
Indiana,Homer City #2,State Senate,41,DEM,Charles Olson,0
Indiana,Homer City #2,State Senate,41,DEM,Dana Henry,0
Indiana,Homer City #2,State Senate,41,DEM,Juanita Hoover,0
Indiana,Indiana #1,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #1,State Senate,41,DEM,Joe Pittman,1
Indiana,Indiana #1,State Senate,41,DEM,Susan Boser,0
Indiana,Indiana #1,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #1,State Senate,41,DEM,Smith,0
Indiana,Indiana #1,State Senate,41,DEM,Struzzi,1
Indiana,Indiana #1,State Senate,41,DEM,Josie Cunningham,1
Indiana,Indiana #1,State Senate,41,DEM,Jim Watta,1
Indiana,Indiana #1,State Senate,41,DEM,Charles Olson,0
Indiana,Indiana #1,State Senate,41,DEM,Dana Henry,0
Indiana,Indiana #1,State Senate,41,DEM,Juanita Hoover,0
Indiana,Indiana #2/1,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #2/1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #2/1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #2/1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #2/1,State Senate,41,DEM,Joe Pittman,0
Indiana,Indiana #2/1,State Senate,41,DEM,Susan Boser,0
Indiana,Indiana #2/1,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #2/1,State Senate,41,DEM,Smith,0
Indiana,Indiana #2/1,State Senate,41,DEM,Struzzi,1
Indiana,Indiana #2/1,State Senate,41,DEM,Josie Cunningham,0
Indiana,Indiana #2/1,State Senate,41,DEM,Jim Watta,0
Indiana,Indiana #2/1,State Senate,41,DEM,Charles Olson,1
Indiana,Indiana #2/1,State Senate,41,DEM,Dana Henry,0
Indiana,Indiana #2/1,State Senate,41,DEM,Juanita Hoover,0
Indiana,Indiana #2/2,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #2/2,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #2/2,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #2/2,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #2/2,State Senate,41,DEM,Joe Pittman,6
Indiana,Indiana #2/2,State Senate,41,DEM,Susan Boser,0
Indiana,Indiana #2/2,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #2/2,State Senate,41,DEM,Smith,0
Indiana,Indiana #2/2,State Senate,41,DEM,Struzzi,0
Indiana,Indiana #2/2,State Senate,41,DEM,Josie Cunningham,0
Indiana,Indiana #2/2,State Senate,41,DEM,Jim Watta,0
Indiana,Indiana #2/2,State Senate,41,DEM,Charles Olson,0
Indiana,Indiana #2/2,State Senate,41,DEM,Dana Henry,1
Indiana,Indiana #2/2,State Senate,41,DEM,Juanita Hoover,0
Indiana,Indiana #3/1,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #3/1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #3/1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #3/1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #3/1,State Senate,41,DEM,Joe Pittman,0
Indiana,Indiana #3/1,State Senate,41,DEM,Susan Boser,1
Indiana,Indiana #3/1,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #3/1,State Senate,41,DEM,Smith,0
Indiana,Indiana #3/1,State Senate,41,DEM,Struzzi,0
Indiana,Indiana #3/1,State Senate,41,DEM,Josie Cunningham,0
Indiana,Indiana #3/1,State Senate,41,DEM,Jim Watta,0
Indiana,Indiana #3/1,State Senate,41,DEM,Charles Olson,0
Indiana,Indiana #3/1,State Senate,41,DEM,Dana Henry,0
Indiana,Indiana #3/1,State Senate,41,DEM,Juanita Hoover,1
Indiana,Indiana #3/2,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #3/2,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #3/2,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #3/2,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #3/2,State Senate,41,DEM,Joe Pittman,2
Indiana,Indiana #3/2,State Senate,41,DEM,Susan Boser,0
Indiana,Indiana #3/2,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #3/2,State Senate,41,DEM,Smith,0
Indiana,Indiana #3/2,State Senate,41,DEM,Struzzi,0
Indiana,Indiana #3/2,State Senate,41,DEM,Josie Cunningham,0
Indiana,Indiana #3/2,State Senate,41,DEM,Jim Watta,0
Indiana,Indiana #3/2,State Senate,41,DEM,Charles Olson,0
Indiana,Indiana #3/2,State Senate,41,DEM,Dana Henry,0
Indiana,Indiana #3/2,State Senate,41,DEM,Juanita Hoover,0
Indiana,Indiana #3/4,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #3/4,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #3/4,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #3/4,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #3/4,State Senate,41,DEM,Joe Pittman,0
Indiana,Indiana #3/4,State Senate,41,DEM,Susan Boser,0
Indiana,Indiana #3/4,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #3/4,State Senate,41,DEM,Smith,0
Indiana,Indiana #3/4,State Senate,41,DEM,Struzzi,0
Indiana,Indiana #3/4,State Senate,41,DEM,Josie Cunningham,0
Indiana,Indiana #3/4,State Senate,41,DEM,Jim Watta,0
Indiana,Indiana #3/4,State Senate,41,DEM,Charles Olson,0
Indiana,Indiana #3/4,State Senate,41,DEM,Dana Henry,0
Indiana,Indiana #3/4,State Senate,41,DEM,Juanita Hoover,0
Indiana,Indiana #4,State Senate,41,DEM,Sam Shutter,0
Indiana,Indiana #4,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Indiana #4,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Indiana #4,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Indiana #4,State Senate,41,DEM,Joe Pittman,1
Indiana,Indiana #4,State Senate,41,DEM,Susan Boser,0
Indiana,Indiana #4,State Senate,41,DEM,Joe Pitman,0
Indiana,Indiana #4,State Senate,41,DEM,Smith,0
Indiana,Indiana #4,State Senate,41,DEM,Struzzi,0
Indiana,Indiana #4,State Senate,41,DEM,Josie Cunningham,0
Indiana,Indiana #4,State Senate,41,DEM,Jim Watta,0
Indiana,Indiana #4,State Senate,41,DEM,Charles Olson,0
Indiana,Indiana #4,State Senate,41,DEM,Dana Henry,0
Indiana,Indiana #4,State Senate,41,DEM,Juanita Hoover,0
Indiana,East Mahoning,State Senate,41,DEM,Sam Shutter,0
Indiana,East Mahoning,State Senate,41,DEM,Jeff Widdowson,0
Indiana,East Mahoning,State Senate,41,DEM,Logan Dellafiora,0
Indiana,East Mahoning,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,East Mahoning,State Senate,41,DEM,Joe Pittman,3
Indiana,East Mahoning,State Senate,41,DEM,Susan Boser,0
Indiana,East Mahoning,State Senate,41,DEM,Joe Pitman,0
Indiana,East Mahoning,State Senate,41,DEM,Smith,0
Indiana,East Mahoning,State Senate,41,DEM,Struzzi,0
Indiana,East Mahoning,State Senate,41,DEM,Josie Cunningham,0
Indiana,East Mahoning,State Senate,41,DEM,Jim Watta,0
Indiana,East Mahoning,State Senate,41,DEM,Charles Olson,0
Indiana,East Mahoning,State Senate,41,DEM,Dana Henry,0
Indiana,East Mahoning,State Senate,41,DEM,Juanita Hoover,0
Indiana,North Mahoning,State Senate,41,DEM,Sam Shutter,0
Indiana,North Mahoning,State Senate,41,DEM,Jeff Widdowson,0
Indiana,North Mahoning,State Senate,41,DEM,Logan Dellafiora,0
Indiana,North Mahoning,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,North Mahoning,State Senate,41,DEM,Joe Pittman,1
Indiana,North Mahoning,State Senate,41,DEM,Susan Boser,0
Indiana,North Mahoning,State Senate,41,DEM,Joe Pitman,0
Indiana,North Mahoning,State Senate,41,DEM,Smith,0
Indiana,North Mahoning,State Senate,41,DEM,Struzzi,0
Indiana,North Mahoning,State Senate,41,DEM,Josie Cunningham,0
Indiana,North Mahoning,State Senate,41,DEM,Jim Watta,0
Indiana,North Mahoning,State Senate,41,DEM,Charles Olson,0
Indiana,North Mahoning,State Senate,41,DEM,Dana Henry,0
Indiana,North Mahoning,State Senate,41,DEM,Juanita Hoover,0
Indiana,South Mahoning,State Senate,41,DEM,Sam Shutter,0
Indiana,South Mahoning,State Senate,41,DEM,Jeff Widdowson,0
Indiana,South Mahoning,State Senate,41,DEM,Logan Dellafiora,0
Indiana,South Mahoning,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,South Mahoning,State Senate,41,DEM,Joe Pittman,1
Indiana,South Mahoning,State Senate,41,DEM,Susan Boser,0
Indiana,South Mahoning,State Senate,41,DEM,Joe Pitman,0
Indiana,South Mahoning,State Senate,41,DEM,Smith,0
Indiana,South Mahoning,State Senate,41,DEM,Struzzi,0
Indiana,South Mahoning,State Senate,41,DEM,Josie Cunningham,0
Indiana,South Mahoning,State Senate,41,DEM,Jim Watta,0
Indiana,South Mahoning,State Senate,41,DEM,Charles Olson,0
Indiana,South Mahoning,State Senate,41,DEM,Dana Henry,0
Indiana,South Mahoning,State Senate,41,DEM,Juanita Hoover,0
Indiana,West Mahoning,State Senate,41,DEM,Sam Shutter,0
Indiana,West Mahoning,State Senate,41,DEM,Jeff Widdowson,0
Indiana,West Mahoning,State Senate,41,DEM,Logan Dellafiora,0
Indiana,West Mahoning,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,West Mahoning,State Senate,41,DEM,Joe Pittman,1
Indiana,West Mahoning,State Senate,41,DEM,Susan Boser,0
Indiana,West Mahoning,State Senate,41,DEM,Joe Pitman,0
Indiana,West Mahoning,State Senate,41,DEM,Smith,0
Indiana,West Mahoning,State Senate,41,DEM,Struzzi,0
Indiana,West Mahoning,State Senate,41,DEM,Josie Cunningham,0
Indiana,West Mahoning,State Senate,41,DEM,Jim Watta,0
Indiana,West Mahoning,State Senate,41,DEM,Charles Olson,0
Indiana,West Mahoning,State Senate,41,DEM,Dana Henry,0
Indiana,West Mahoning,State Senate,41,DEM,Juanita Hoover,0
Indiana,Marion Center,State Senate,41,DEM,Sam Shutter,0
Indiana,Marion Center,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Marion Center,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Marion Center,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Marion Center,State Senate,41,DEM,Joe Pittman,1
Indiana,Marion Center,State Senate,41,DEM,Susan Boser,0
Indiana,Marion Center,State Senate,41,DEM,Joe Pitman,0
Indiana,Marion Center,State Senate,41,DEM,Smith,0
Indiana,Marion Center,State Senate,41,DEM,Struzzi,0
Indiana,Marion Center,State Senate,41,DEM,Josie Cunningham,0
Indiana,Marion Center,State Senate,41,DEM,Jim Watta,0
Indiana,Marion Center,State Senate,41,DEM,Charles Olson,0
Indiana,Marion Center,State Senate,41,DEM,Dana Henry,0
Indiana,Marion Center,State Senate,41,DEM,Juanita Hoover,0
Indiana,Montgomery,State Senate,41,DEM,Sam Shutter,0
Indiana,Montgomery,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Montgomery,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Montgomery,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Montgomery,State Senate,41,DEM,Joe Pittman,0
Indiana,Montgomery,State Senate,41,DEM,Susan Boser,0
Indiana,Montgomery,State Senate,41,DEM,Joe Pitman,0
Indiana,Montgomery,State Senate,41,DEM,Smith,0
Indiana,Montgomery,State Senate,41,DEM,Struzzi,0
Indiana,Montgomery,State Senate,41,DEM,Josie Cunningham,0
Indiana,Montgomery,State Senate,41,DEM,Jim Watta,0
Indiana,Montgomery,State Senate,41,DEM,Charles Olson,0
Indiana,Montgomery,State Senate,41,DEM,Dana Henry,0
Indiana,Montgomery,State Senate,41,DEM,Juanita Hoover,0
Indiana,Pine #1,State Senate,41,DEM,Sam Shutter,0
Indiana,Pine #1,State Senate,41,DEM,Jeff Widdowson,0
Indiana,Pine #1,State Senate,41,DEM,Logan Dellafiora,0
Indiana,Pine #1,State Senate,41,DEM,Joseph A. Pittman,0
Indiana,Pine #1,State Senate,41,DEM,Joe Pittman,2
