county,precinct,office,district,party,candidate,votes
Indiana,Canoe,Registered Voters,,DEM,,270
Indiana,Canoe,Registered Voters,,REP,,458
Indiana,Canoe,Registered Voters,,NPA,,0
Indiana,Canoe,Ballots Cast,,,,312
Indiana,Canoe,Ballots Cast,,DEM,,93
Indiana,Canoe,Ballots Cast,,REP,,219
Indiana,Canoe,Ballots Cast,,NPA,,0
Indiana,Center #1,Registered Voters,,,,730
Indiana,Center #1,Registered Voters,,DEM,,308
Indiana,Center #1,Registered Voters,,REP,,422
Indiana,Center #1,Registered Voters,,NPA,,0
Indiana,Center #1,Ballots Cast,,,,279
Indiana,Center #1,Ballots Cast,,DEM,,109
Indiana,Center #1,Ballots Cast,,REP,,170
Indiana,Center #1,Ballots Cast,,NPA,,0
Indiana,Center #2,Registered Voters,,,,665
Indiana,Center #2,Registered Voters,,DEM,,359
Indiana,Center #2,Registered Voters,,REP,,306
Indiana,Center #2,Registered Voters,,NPA,,0
Indiana,Center #2,Ballots Cast,,,,274
Indiana,Center #2,Ballots Cast,,DEM,,169
Indiana,Center #2,Ballots Cast,,REP,,105
Indiana,Center #2,Ballots Cast,,NPA,,0
Indiana,Center #3,Registered Voters,,,,1225
Indiana,Center #3,Registered Voters,,DEM,,685
Indiana,Center #3,Registered Voters,,REP,,540
Indiana,Center #3,Registered Voters,,NPA,,0
Indiana,Center #3,Ballots Cast,,,,496
Indiana,Center #3,Ballots Cast,,DEM,,298
Indiana,Center #3,Ballots Cast,,REP,,198
Indiana,Center #3,Ballots Cast,,NPA,,0
Indiana,Cherryhill #1,Registered Voters,,,,969
Indiana,Cherryhill #1,Registered Voters,,DEM,,332
Indiana,Cherryhill #1,Registered Voters,,REP,,637
Indiana,Cherryhill #1,Registered Voters,,NPA,,0
Indiana,Cherryhill #1,Ballots Cast,,,,401
Indiana,Cherryhill #1,Ballots Cast,,DEM,,138
Indiana,Cherryhill #1,Ballots Cast,,REP,,263
Indiana,Cherryhill #1,Ballots Cast,,NPA,,0
Indiana,Cherryhill #2,Registered Voters,,,,480
Indiana,Cherryhill #2,Registered Voters,,DEM,,163
Indiana,Cherryhill #2,Registered Voters,,REP,,317
Indiana,Cherryhill #2,Registered Voters,,NPA,,0
Indiana,Cherryhill #2,Ballots Cast,,,,199
Indiana,Cherryhill #2,Ballots Cast,,DEM,,69
Indiana,Cherryhill #2,Ballots Cast,,REP,,130
Indiana,Cherryhill #2,Ballots Cast,,NPA,,0
Indiana,Cherry Tree,Registered Voters,,,,146
Indiana,Cherry Tree,Registered Voters,,DEM,,52
Indiana,Cherry Tree,Registered Voters,,REP,,94
Indiana,Cherry Tree,Registered Voters,,NPA,,0
Indiana,Cherry Tree,Ballots Cast,,,,64
